"Timestamp","AppName","AppPackage","AppUid","In interface","Out interface","Source","Source Port","Destination","Destination Port","Length"
"2021-03-10 21:00:02.488","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","34151","54.230.126.31","443","52"
"2021-03-10 21:00:02.489","Headphones","com.sony.songpal.mdr","10145","wlan0","","54.230.126.31","443","192.168.1.224","34151","833"
"2021-03-10 21:00:02.489","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","34151","54.230.126.31","443","76"
"2021-03-10 21:00:02.489","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","34151","54.230.126.31","443","52"
"2021-03-10 21:00:06.492","Headphones","com.sony.songpal.mdr","10145","wlan0","","54.230.126.18","443","192.168.1.224","45558","543"
"2021-03-10 21:00:06.492","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","45558","54.230.126.18","443","52"
"2021-03-10 21:00:06.493","Headphones","com.sony.songpal.mdr","10145","wlan0","","54.230.126.31","443","192.168.1.224","34151","52"
"2021-03-10 21:00:06.493","Headphones","com.sony.songpal.mdr","10145","wlan0","","54.230.126.31","443","192.168.1.224","34151","52"
"2021-03-10 21:00:06.494","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","34151","54.230.126.31","443","52"
"2021-03-10 21:00:06.536","Kernel","kernel","-1","wlan0","","192.168.1.32","17500","255.255.255.255","17500","275"
"2021-03-10 21:00:06.560","Kernel","kernel","-1","wlan0","","192.168.1.32","17500","192.168.1.255","17500","275"
"2021-03-10 21:00:06.580","Kernel","kernel","-1","wlan0","","192.168.1.86","45246","192.168.1.255","32414","49"
"2021-03-10 21:00:06.600","Kernel","kernel","-1","wlan0","","192.168.1.86","58691","192.168.1.255","32412","49"
"2021-03-10 21:00:06.601","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","40152","54.230.126.18","443","280"
"2021-03-10 21:00:06.601","Headphones","com.sony.songpal.mdr","10145","wlan0","","54.230.126.18","443","192.168.1.224","40152","543"
"2021-03-10 21:00:06.602","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","40152","54.230.126.18","443","52"
"2021-03-10 21:00:06.602","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","32973","52.36.27.160","443","60"
"2021-03-10 21:00:06.602","Headphones","com.sony.songpal.mdr","10145","wlan0","","52.36.27.160","443","192.168.1.224","32973","60"
"2021-03-10 21:00:06.603","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","32973","52.36.27.160","443","52"
"2021-03-10 21:00:06.603","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","32973","52.36.27.160","443","235"
"2021-03-10 21:00:06.603","Headphones","com.sony.songpal.mdr","10145","wlan0","","52.36.27.160","443","192.168.1.224","32973","52"
"2021-03-10 21:00:06.604","Headphones","com.sony.songpal.mdr","10145","wlan0","","52.36.27.160","443","192.168.1.224","32973","1500"
"2021-03-10 21:00:06.604","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","32973","52.36.27.160","443","52"
"2021-03-10 21:00:06.604","Headphones","com.sony.songpal.mdr","10145","wlan0","","52.36.27.160","443","192.168.1.224","32973","1500"
"2021-03-10 21:00:06.605","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","32973","52.36.27.160","443","52"
"2021-03-10 21:00:06.605","Headphones","com.sony.songpal.mdr","10145","wlan0","","52.36.27.160","443","192.168.1.224","32973","1398"
"2021-03-10 21:00:06.605","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","32973","52.36.27.160","443","52"
"2021-03-10 21:00:06.606","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","32973","52.36.27.160","443","178"
"2021-03-10 21:00:06.606","Headphones","com.sony.songpal.mdr","10145","wlan0","","52.36.27.160","443","192.168.1.224","32973","103"
"2021-03-10 21:00:06.606","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","32973","52.36.27.160","443","1302"
"2021-03-10 21:00:07.607","Headphones","com.sony.songpal.mdr","10145","wlan0","","52.36.27.160","443","192.168.1.224","32973","265"
"2021-03-10 21:00:07.608","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","57738","54.201.77.157","443","83"
"2021-03-10 21:00:07.608","Headphones","com.sony.songpal.mdr","10145","","wlan0","192.168.1.224","57738","54.201.77.157","443","52"
